Symbol,Exp000978,Exp000979,Exp000980,Exp000977
LUC7L2,7.55593900587,5.94361620468,6.54536031143,0
NCAPG2,0,6.52852844189,7.33023245261,7.1067009184
RER1,6.0314653402,0,0,0
SDR39U1,6.28527613163,0,0,7.39656909098
PKNOX2,6.98803769469,6.98424998426,6.92835625971,0
PTPLAD1,8.88150721263,8.33455934402,8.42668682497,8.43653582424
HNRNPC,9.1543261267,8.62910306569,8.70774590468,8.71353341229
PHF2,0,7.31809403201,7.06602616599,7.20682695634
TRMT10C,8.25450327395,6.4167374726,7.48296063106,7.89489543473
SCAF11,0,0,0,6.99513148962
BCLAF1,7.58680451465,7.04817108852,7.25039826135,7.34390305603
GNAS,7.05662300612,0,0,6.09150950391
ZC3H15,0,6.58634295348,6.66887443197,6.88483530048
RGPD6,6.6655660741,0,0,0
CDC16,8.32917073396,6.88970241255,7.10776719799,8.19654191875
CDC20,6.94051819597,0,7.38844845502,0
CDC23,7.63835013517,7.51904989639,7.62236128578,8.33239792904
TBCE,8.3243951451,0,7.54647265035,7.41686938471
SALL1,0,8.34867232871,0,0
MPHOSPH6,0,6.30514987718,6.26518498352,7.02840717082
RSL1D1,7.54764633723,0,6.82649532819,7.35410448988
FHOD1,0,0,0,7.09678582582
UBN1,6.904329219,6.44157575357,7.12382281963,6.71808373752
SRRM2,8.53739170056,0,0,7.02413408944
MSX1,0,6.83423173587,6.68090486777,0
COQ3,0,0,6.15804728317,0
RBMX2,6.33979767145,6.27918244536,6.49101832154,6.48154038347
HNRNPUL2,7.18681199974,6.82848633653,6.9751092064,7.88555847142
ARCN1,7.49146784581,7.12493297297,7.48451849247,7.34982164961
ZIC5,7.16103124707,7.61437688489,0,6.76673507652
USP10,0,0,7.4375210961,0
ZFP1,0,0,0,0
CHERP,7.77392695639,6.71005257077,7.49304157869,7.57679651109
GLI3,5.913938165,6.62670573693,0,7.9834792617
FOXC1,8.93829183992,8.54652700684,8.29973976026,8.64703404805
KRT1,9.86719957454,9.98629721644,9.99929772766,9.90171022887
KRT5,8.22210529741,8.51628869504,8.56247926858,8.21824749124
POLR1E,8.49050545564,7.80547514225,7.81118656367,8.15211995258
ACTR6,0,6.77485226781,7.3825508857,7.77079283888
RPS18,8.59279221681,7.80947530597,7.58329880024,8.31140936561
DSG1,0,7.03934218446,6.7518494789,6.99100027752
KRT6B,8.86021946189,9.07220937048,8.95789331608,8.89702328986
CASZ1,7.47083046149,0,0,0
LRP5,0,6.91260501304,0,0
ACTN4,0,0,7.1025441579,0
FBL,8.78744236005,8.29467353156,8.51905895577,8.59958886655
JUP,5.797517581,6.3792787635,6.51681904268,6.52036290347
ANAPC1,8.0601679029,7.04100922749,7.42469206599,7.88153935669
CUL4B,7.06120832443,6.89393097638,6.53695838017,0
METTL17,6.88484385506,0,0,0
U2SURP,8.04084917978,7.10720509874,7.53136731577,7.47721098172
ZNF629,7.82147453864,7.85935558696,7.94045171915,7.67322140194
BEND3,8.89441963267,8.90287332384,8.84246486956,8.5761651258
GEMIN4,6.78768272882,8.18712021962,6.75627154442,6.58357156121
RAVER1,7.36859111385,7.39728911014,7.54415241196,0
DCLRE1B,0,7.15098276021,0,0
SYMPK,8.41840354906,8.0544233541,8.48358511215,8.62758626557
XRCC4,7.48365258944,6.7921890307,0,0
PFDN2,6.66910269705,5.75004297629,6.03883679658,6.28691150671
FAM168A,7.12678160034,0,0,7.29670874214
NXF1,0,0,6.74605373299,0
SP2,8.02236741447,7.73421976658,0,7.37820177672
KRT80,7.15529751929,8.66737510444,8.52009702255,7.91278655813
THOC2,7.84906576914,7.78319823803,7.7175551052,8.31058974414
C12orf43,5.7365533229,0,6.35344880918,0
BCL11B,0,6.66975989764,6.71166501806,0
CENPH,6.9348636911,5.86603904888,6.12167081138,6.67149799442
MRPL44,0,0,0,6.36021864589
IK,6.93352227604,0,6.93204530317,7.40961742484
STK10,0,0,6.54778788803,0
RRP15,6.67639190622,0,0,0
ZC3H4,0,0,0,7.04183824532
UPF3B,7.6949483126,7.42526110681,7.84046439808,7.75289607314
TSHZ3,0,6.4768814701,0,0
ANKRA2,6.50236898289,6.268338422,6.145874845,6.28260107323
C8orf33,0,0,6.43627894721,5.97681938904
RBFOX3,6.97908588546,0,0,0
MRPS34,7.40088159189,6.20114023229,6.77254976708,7.26138684957
CAMSAP3,0,0,6.9671439742,0
ACD,7.19641858783,0,0,6.65441009884
CBFB,6.69681327669,5.90255999243,6.67350824935,0
MYH11,0,0,0,0
KIN,0,0,6.24631222367,0
HDAC1,9.04295687765,8.7425620415,8.6243950286,8.88308662078
HDAC3,0,0,0,7.40800639685
C19orf43,5.5171127295,5.33135434171,5.32156205205,5.84755214952
SLX1B,0,0,0,6.3521060098
DDX50,8.30173239967,7.63692934761,0,8.43378483013
CENPM,7.02276207112,0,0,0
NABP2,6.91168259691,5.94787221031,6.39222177215,6.33497249711
ZFYVE21,0,6.26056729887,6.26311784571,0
NOC4L,8.23956546647,0,6.60911379711,7.99113608058
TMEM109,7.7616243721,7.46930897864,7.74952350545,6.55226236491
C2orf49,0,0,6.03874681715,0
TAF1D,7.58003602482,0,0,6.85012240586
KRT13,0,7.56624163651,7.97431377248,7.17151390306
C1orf35,7.68259031568,7.1248742014,7.31879102079,7.45430463639
CENPO,7.66760438404,7.0694274318,7.782621111,7.58713947216
SMN2,0,7.45663805724,0,7.82477390504
ITGB1BP1,0,0,6.29418896867,0
MDC1,9.33175960329,8.43556559356,8.66438322921,9.35664061162
HOXB4,0,5.23620781777,5.82337867762,0
HOXB8,7.39704081736,6.9111748867,6.90640524788,6.85321551279
PAGR1,6.56701894037,6.6999465405,6.96071727337,6.53803174872
SAP30L,7.35717817605,0,0,7.32370587702
VPS37B,0,5.80610772522,5.93548426803,0
KATNBL1,0,0,0,6.21934269694
NHEJ1,7.95636465523,7.72402277135,8.06782167461,7.75175269812
CCDC134,6.21400555039,0,7.03800615,6.65620689523
