"ID"	"Description"	"Count"	"GeneRatio"	"geneID"
"GO:0040011"	"locomotion"	93	"93/137"	"Acan/Acvrl1/Adora3/Acvr1/Acvr1/Acvr1/Adra2a/Adora3/Acvrl1/Adipoq/Adipoq/Angpt1/Ang/Adra2a/Acvr1/Adora1/Adam8/Adipoq/Adora2a/Adra2a/Angpt2/Acan/Adora2a/Adam9/Acvr1b/Ace/Macf1/Acvr1/Adra2a/Adam17/Acvrl1/Adam9/Adora1/Acvr1b/Acvr1/Adora1/Adam10/Ager/Adra2a/Acvr1/Adam8/Adam9/Adipoq/Acan/Adipoq/Adora3/Macf1/Adam10/Adam10/Adora3/Ace/Macf1/Macf1/Acan/Acvr1/Acvr1b/Adam15/Adam8/Adora3/Adra2a/Angpt1/Acvr1/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Chrna7/Chrna7/Itga7/Acvr1/Adora3/Abl2/Adora1/Angpt2/Abl2/Adipoq/Adora1/Abl2/Adora1/Acvr1b/Acvr1b/Acan/Adam15/Angpt1/Adam17/Acvr1b/Adipoq/Adam10/Macf1/Adra2a/Adam9/Adam8"
"GO:0044699"	"single-organism process"	373	"373/137"	"Asic2/Acp5/Cd40/Cd40lg/Adamts1/Adra2c/Acan/Adamts1/Add2/Abl1/Acvrl1/Parp2/Adra2b/Avil/Parp1/Gpr182/Adora3/Acta2/Chrng/Adrb1/Aco2/Acvr1/Acvr1/Acvr1/Aco2/Abca2/Parp1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adh1/Adm/Atf7ip/Acta2/Chrne/Chrng/Adipoq/Adam22/Adam4/Adam7/Adipoq/Plin2/Angpt1/Ang/Adcy8/Adh7/Abca2/Acads/Adora2b/Parp1/Adk/Adra2a/Acvr1/Adora1/Re/Chrna1/Adam8/Adipoq/Abca4/Adam11/Asic1/Adora2a/Acox1/Acta1/Abi1/Acta2/Acp5/Chrna1/Gpr182/Adsl/Adra2c/Adra2a/Avil/Adora2b/Add2/Angpt2/Acan/Adora2a/Adam9/Acads/Acvr1b/Ace/Acta1/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Adra2b/Adra2b/Aco2/Acp2/Abcg1/Adh1/Adam5/Adra1b/Chrna4/Adra2c/Asic1/Abcg1/Adh1/Adra1d/Chrnb1/Parp2/Adora2b/Abca4/Adra2a/Plin2/Parp2/Aatk/Adam17/Acvrl1/Adam3/Apoc4/Adam3/Ldlrap1/Chrnb2/Adam9/Adora1/Adam3/Adam22/Acvr1b/Parp1/Abca1/Actb/Acvr1/Plin2/Aco1/Acads/Adcyap1/Mzb1/Adora1/Acads/Adam19/Asic1/Actg1/Pzp/A2m/Acox1/Adam2/Adra1d/Aspa/Adam10/Aspa/Ager/Acvr2a/Chrna6/Cfd/Adssl1/Adss/Aspa/Asic1/Adssl1/Asic2/Acvr2b/Abca4/Adora2b/Abl1/Parp1/Adk/Acta1/Add1/Adra2a/Adss/Acvr1/Adh7/Adh7/Adh5/Acadvl/Adam8/Acadm/Adora2b/Adam9/Abca2/Adh7/Adipoq/Taf10/Sap30/Adam22/Adcy6/Adh1/Acan/Acadl/Chrne/Parp1/Adk/Adipoq/Adora3/Macf1/Pzp/Actc1/Actb/Adam10/Adrb2/Adam10/Gpr182/Actg1/Abi1/Napsa/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Acadm/Adam11/Adh1/Adh7/Adcy6/Actg1/Adra1d/Abca1/Abi1/Abl1/Asic2/Asic1/Ace/Macf1/Macf1/Acan/Adam2/Acp2/Cebpb/Cenpj/Chrnb1/Chrnb2/Chrnd/Acvr1/Acvr1b/Adam15/Adam5/Adam8/Adcy7/Adcy8/Adcy9/Adcy9/Adcyap1r1/Adh1/Adh7/Adh5/Adh5/Adk/Adk/Gpr182/Gpr182/Gpr182/Cfd/Parp1/Parp1/Adora3/Parp2/Adra1d/Adra1d/Adra2a/Adra2b/Adrb2/Adssl1/Angpt1/Acads/Aco1/Adam2/Adcy9/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Abca4/Chrna6/Chrna7/Chrna7/Itga7/Adora2b/Actg1/Acvr1/Adam19/Adnp/Adam4/Adamts1/Adora3/Adsl/Asl/Adh7/Adh4/Abl2/Adcy9/Chrna4/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Abcb7/Adh1/Adnp/Adora1/Abl2/Abca4/Plin2/Adh1/Parp2/Adh1/Adora1/Acvr1b/Acvr1b/Chrne/Asic1/Acta2/Abcb7/Acadl/Adh1/Adrb3/Acox1/Paox/Acan/Actb/Acadl/Gpr182/Actn2/Acta1/Chrnd/Adam15/Adh1/Adh7/Adss/Angpt1/Adam7/Parp1/Adh7/Adss/Aco1/Adam17/Parp2/Adamts1/Acta2/Adra1a/Asic2/Chrna1/Pzp/Pzp/Chrnd/Adam7/Acvr1b/Adipoq/Aatk/Abcg1/Adamts1/Adcyap1r1/Dusp2/Adam10/Macf1/Adamts1/Adra2c/Abcb7/Acadl/Chrna1/Acox1/Adra2a/Chrnb2/Abca2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0046879"	"hormone secretion"	34	"34/137"	"Adora3/Adra2a/Adora3/Adm/Adipoq/Adipoq/Adra2a/Adora1/Adipoq/Adra2a/Acvr2a/Adra2a/Adora1/Adcyap1/Adora1/Acvr2a/Acvr2b/Adra2a/Adipoq/Adipoq/Adora3/Adora3/Acvr2a/Adora3/Adra2a/Adora3/Adora1/Adora3/Adora1/Adipoq/Adora1/Adora1/Adipoq/Adra2a"
"GO:0048511"	"rhythmic process"	30	"30/137"	"Adamts1/Adamts1/Angpt1/Adora1/Adora2a/Adora2a/Chrnb2/Chrnb2/Adora1/Adcyap1/Adora1/Aanat/Aanat/Aanat/Aanat/Chrnb2/Angpt1/Adora2a/Adora1/Chrna7/Chrna7/Adamts1/Adora1/Adora1/Adora1/Angpt1/Adamts1/Adamts1/Adamts1/Chrnb2"
"GO:0048518"	"positive regulation of biological process"	201	"201/137"	"Asic2/Cd40/Cd40lg/Adra2c/Abl1/Acvrl1/Adra2b/Avil/Parp1/Adora3/Adrb1/Acvr1/Acvr1/Acvr1/Parp1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adm/Atf7ip/Adipoq/Adipoq/Angpt1/Ang/Adora2b/Parp1/Adk/Adra2a/Acvr1/Adora1/Adam8/Adipoq/Adora2a/Acox1/Abi1/Adra2c/Adra2a/Avil/Adora2b/Angpt2/Adora2a/Adam9/Acvr1b/Ace/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Adra2b/Adra2b/Abcg1/Adra1b/Chrna4/Adra2c/Abcg1/Adra1d/Adora2b/Adra2a/Adam17/Acvrl1/Apoc4/Ldlrap1/Chrnb2/Adam9/Adora1/Acvr1b/Parp1/Abca1/Acvr1/Adcyap1/Mzb1/Adora1/A2m/Acox1/Adra1d/Aspa/Adam10/Aspa/Ager/Acvr2a/Chrna6/Cfd/Aspa/Asic2/Acvr2b/Adora2b/Abl1/Parp1/Adk/Add1/Adra2a/Acvr1/Adam8/Adora2b/Adam9/Adipoq/Adcy6/Parp1/Adk/Adipoq/Adora3/Macf1/Adam10/Adrb2/Adam10/Abi1/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Adcy6/Adra1d/Abca1/Abi1/Abl1/Asic2/Ace/Macf1/Macf1/Cebpb/Cenpj/Chrnb2/Acvr1/Acvr1b/Adam8/Adcy7/Adcy9/Adcy9/Adcyap1r1/Adk/Adk/Cfd/Parp1/Parp1/Adora3/Adra1d/Adra1d/Adra2a/Adra2b/Adrb2/Angpt1/Adcy9/Acvr1/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Chrna6/Chrna7/Chrna7/Adora2b/Acvr1/Adnp/Adora3/Abl2/Adcy9/Chrna4/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Adnp/Adora1/Abl2/Adora1/Acvr1b/Acvr1b/Adrb3/Acox1/Paox/Actn2/Angpt1/Parp1/Adam17/Adra1a/Asic2/Acvr1b/Adipoq/Abcg1/Adcyap1r1/Adam10/Macf1/Adra2c/Acox1/Adra2a/Chrnb2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0048519"	"negative regulation of biological process"	182	"182/137"	"Asic2/Acp5/Cd40lg/Adamts1/Adra2c/Acan/Adamts1/Add2/Abl1/Acvrl1/Avil/Aebp2/Adrb1/Acvr1/Acvr1/Acvr1/Adra2a/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adm/Atf7ip/Adipoq/Adipoq/Angpt1/Ang/Adh7/Adora2b/Adra2a/Acvr1/Adora1/Adam8/Adipoq/Asic1/Adora2a/Acp5/Adra2c/Adra2a/Avil/Adora2b/Aebp1/Add2/Angpt2/Acan/Adora2a/Acvr1b/Ace/Macf1/Chrnb2/Acvr1/Abcg1/Adra1b/Adra2c/Asic1/Abcg1/Adra1d/Adora2b/Adra2a/Aatk/Adam17/Acvrl1/Chrnb2/Adora1/Acvr1b/Acvr1/Adcyap1/Mzb1/Adora1/Asic1/A2m/Adra1d/Adam10/Ager/Asic1/Asic2/Adora2b/Abl1/Aebp2/Add1/Adra2a/Acvr1/Adh7/Adh7/Acadvl/Adam8/Adora2b/Adh7/Adipoq/Sap30/Adcy6/Acan/Acadl/Adipoq/Macf1/Actc1/Adam10/Adrb2/Adam10/Adrb2/Adcyap1r1/Asic2/Adh7/Adcy6/Adra1d/Abl1/Asic2/Asic1/Ace/Macf1/Macf1/Acan/Cebpb/Chrnb2/Acvr1/Acvr1b/Adam15/Adam8/Adcyap1r1/Adh7/Adra1d/Adra1d/Adra2a/Adrb2/Angpt1/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora2a/Acvrl1/Adora1/Chrna7/Chrna7/Adora2b/Acvr1/Adnp/Adamts1/Adh7/Abl2/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Adnp/Adora1/Abl2/Adora1/Acvr1b/Acvr1b/Asic1/Acadl/Adrb3/Acan/Acadl/Actn2/Adam15/Adh7/Angpt1/Adh7/Adam17/Adamts1/Adra1a/Asic2/Acvr1b/Adipoq/Aatk/Abcg1/Adamts1/Adcyap1r1/Adam10/Macf1/Adamts1/Adra2c/Acadl/Adra2a/Chrnb2/Adrb1/Adcyap1r1/Adam8"
"GO:0050789"	"regulation of biological process"	298	"298/137"	"Asic2/Acp5/Cd40/Cd40lg/Adamts1/Adra2c/Acan/Adamts1/Add2/Abl1/Acvrl1/Parp2/Adra2b/Avil/Parp1/Gpr182/Adora3/Aebp2/Adrb1/Acvr1/Acvr1/Acvr1/Abca2/Parp1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adm/Atf7ip/Adipoq/Adam22/Adam4/Adam7/Adipoq/Angpt1/Ang/Adcy8/Adh7/Abca2/Adora2b/Parp1/Adk/Adra2a/Acvr1/Adora1/Adam8/Adipoq/Adam11/Asic1/Adora2a/Acox1/Abi1/Acp5/Gpr182/Adra2c/Adra2a/Avil/Adora2b/Aebp1/Add2/Angpt2/Acan/Adora2a/Adam9/Acvr1b/Ace/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Adra2b/Adra2b/Abcg1/Adam5/Adra1b/Chrna4/Adra2c/Asic1/Abcg1/Adra1d/Chrnb1/Parp2/Adora2b/Adra2a/Parp2/Aatk/Adam17/Acvrl1/Adam3/Apoc4/Adam3/Ldlrap1/Chrnb2/Adam9/Adora1/Adam3/Adam22/Acvr1b/Parp1/Abca1/Acvr1/Aco1/Adcyap1/Mzb1/Adora1/Adam19/Asic1/Pzp/A2m/Acox1/Adam2/Adra1d/Aspa/Adam10/Aspa/Ager/Acvr2a/Chrna6/Cfd/Aspa/Asic1/Asic2/Acvr2b/Adora2b/Abl1/Parp1/Adk/Aebp2/Add1/Adra2a/Acvr1/Adh7/Adh7/Acadvl/Adam8/Acadm/Adora2b/Adam9/Abca2/Adh7/Adipoq/Taf10/Sap30/Adam22/Adcy6/Acan/Acadl/Parp1/Adk/Adipoq/Adora3/Macf1/Pzp/Actc1/Adam10/Adrb2/Adam10/Gpr182/Abi1/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Acadm/Adam11/Adh7/Adcy6/Adra1d/Abca1/Abi1/Abl1/Asic2/Asic1/Ace/Macf1/Macf1/Acan/Adam2/Cebpb/Cenpj/Chrnb1/Chrnb2/Acvr1/Acvr1b/Adam15/Adam5/Adam8/Adcy7/Adcy8/Adcy9/Adcy9/Adcyap1r1/Adh7/Adk/Adk/Gpr182/Gpr182/Gpr182/Cfd/Parp1/Parp1/Adora3/Parp2/Adra1d/Adra1d/Adra2a/Adra2b/Adrb2/Angpt1/Aco1/Adam2/Adcy9/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Chrna6/Chrna7/Chrna7/Itga7/Adora2b/Acvr1/Adam19/Adnp/Adam4/Adamts1/Adora3/Adh7/Abl2/Adcy9/Chrna4/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Adnp/Adora1/Abl2/Parp2/Adora1/Acvr1b/Acvr1b/Asic1/Acadl/Adrb3/Acox1/Paox/Acan/Acadl/Gpr182/Actn2/Adam15/Adh7/Angpt1/Adam7/Parp1/Adh7/Aco1/Adam17/Parp2/Adamts1/Adra1a/Asic2/Pzp/Pzp/Adam7/Acvr1b/Adipoq/Aatk/Abcg1/Adamts1/Adcyap1r1/Adam10/Macf1/Adamts1/Adra2c/Acadl/Acox1/Adra2a/Chrnb2/Abca2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0050896"	"response to stimulus"	284	"284/137"	"Asic2/Acp5/Cd40/Cd40lg/Adra2c/Abl1/Acvrl1/Parp2/Adra2b/Parp1/Gpr182/Adora3/Adrb1/Acvr1/Acvr1/Acvr1/Parp1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adh1/Adm/Adipoq/Adam22/Adam4/Adam7/Adipoq/Angpt1/Ang/Adcy8/Adh7/Adora2b/Parp1/Adk/Adra2a/Acvr1/Adora1/Adam8/Adipoq/Abca4/Adam11/Asic1/Adora2a/Acp5/Gpr182/Adsl/Adra2c/Adra2a/Adora2b/Angpt2/Adora2a/Adam9/Acvr1b/Ace/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Adra2b/Adra2b/Acp2/Abcg1/Adh1/Adam5/Adra1b/Chrna4/Adra2c/Asic1/Abcg1/Adh1/Adra1d/Chrnb1/Parp2/Adora2b/Abca4/Adra2a/Parp2/Aatk/Adam17/Acvrl1/Adam3/Adam3/Ldlrap1/Chrnb2/Adam9/Adora1/Adam3/Adam22/Acvr1b/Parp1/Abca1/Actb/Acvr1/Aco1/Adcyap1/Mzb1/Adora1/Adam19/Asic1/Actg1/A2m/Adam2/Adra1d/Adam10/Ager/Acvr2a/Cfd/Asic1/Asic2/Acvr2b/Abca4/Adora2b/Abl1/Parp1/Adk/Add1/Adra2a/Acvr1/Adh7/Aanat/Adh7/Adh5/Adam8/Acadm/Adora2b/Adam9/Adh7/Adipoq/Adam22/Adcy6/Adh1/Parp1/Adk/Adipoq/Adora3/Macf1/Actb/Adam10/Adrb2/Adam10/Gpr182/Actg1/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Acadm/Adam11/Adh1/Adh7/Adcy6/Actg1/Adra1d/Aanat/Aanat/Aanat/Abca1/Abl1/Asic2/Asic1/Ace/Macf1/Macf1/Adam2/Acp2/Cebpb/Cenpj/Chrnb1/Chrnb2/Acvr1/Acvr1b/Adam15/Adam5/Adam8/Adcy7/Adcy8/Adcy9/Adcy9/Adcyap1r1/Adh1/Adh7/Adh5/Adh5/Adk/Adk/Gpr182/Gpr182/Gpr182/Cfd/Parp1/Parp1/Adora3/Parp2/Adra1d/Adra1d/Adra2a/Adra2b/Adrb2/Angpt1/Aco1/Adam2/Adcy9/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Abca4/Chrna7/Chrna7/Itga7/Adora2b/Actg1/Acvr1/Adam19/Adnp/Adam4/Adora3/Adsl/Asl/Adh7/Abl2/Adcy9/Chrna4/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Adh1/Adnp/Adora1/Abl2/Abca4/Adh1/Parp2/Adh1/Adora1/Acvr1b/Acvr1b/Asic1/Adh1/Adrb3/Actb/Gpr182/Actn2/Adam15/Adh1/Adh7/Angpt1/Adam7/Parp1/Adh7/Aco1/Adam17/Parp2/Adra1a/Asic2/Adam7/Acvr1b/Adipoq/Aatk/Abcg1/Adcyap1r1/Adam10/Macf1/Adra2c/Adra2a/Chrnb2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0051179"	"localization"	206	"206/137"	"Asic2/Cd40/Cd40lg/Acan/Add2/Abl1/Acvrl1/Parp1/Adora3/Chrng/Adrb1/Acvr1/Acvr1/Acvr1/Abca2/Parp1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adcyap1r1/Adm/Chrne/Chrng/Adipoq/Adipoq/Plin2/Angpt1/Ang/Abca2/Adora2b/Parp1/Adra2a/Acvr1/Adora1/Chrna1/Adam8/Adipoq/Abca4/Asic1/Adora2a/Chrna1/Slc33a1/Adra2a/Adora2b/Add2/Angpt2/Acan/Adora2a/Adam9/Acvr1b/Ace/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Abcg1/Chrna4/Asic1/Abcg1/Slc33a1/Chrnb1/Adora2b/Abca4/Adra2a/Plin2/Adam17/Acvrl1/Apoc4/Ldlrap1/Chrnb2/Adam9/Adora1/Acvr1b/Parp1/Abca1/Acvr1/Plin2/Aco1/Adcyap1/Mzb1/Adora1/Asic1/Adam10/Ager/Acvr2a/Chrna6/Asic1/Asic2/Acvr2b/Abca4/Adora2b/Abl1/Parp1/Add1/Adra2a/Acvr1/Adam8/Adora2b/Adam9/Abca2/Adipoq/Adcy6/Acan/Chrne/Parp1/Adipoq/Adora3/Slc33a1/Macf1/Adam10/Adrb2/Adam10/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Adcy6/Abca1/Abl1/Asic2/Asic1/Ace/Macf1/Macf1/Acan/Chrnb1/Chrnb2/Chrnd/Acvr1/Acvr1b/Adam15/Adam8/Adcyap1r1/Parp1/Parp1/Adora3/Adra2a/Adrb2/Angpt1/Aco1/Acvr1/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Abca4/Chrna6/Chrna7/Chrna7/Itga7/Adora2b/Acvr1/Adora3/Slc33a1/Abl2/Chrna4/Adora1/Angpt2/Abl2/Adipoq/Abcb7/Adora1/Abl2/Abca4/Plin2/Adora1/Acvr1b/Acvr1b/Chrne/Asic1/Abcb7/Acan/Actn2/Chrnd/Adam15/Angpt1/Parp1/Aco1/Adam17/Adra1a/Asic2/Chrna1/Chrnd/Acvr1b/Adipoq/Abcg1/Adcyap1r1/Adam10/Macf1/Abcb7/Chrna1/Adra2a/Chrnb2/Abca2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0051704"	"multi-organism process"	92	"92/137"	"Acp5/Cd40/Adamts1/Adra2c/Adamts1/Abl1/Adra2b/Acvr1/Acvr1/Acvr1/Adra2a/Adcyap1r1/Adm/Adh7/Adra2a/Acvr1/Acox1/Acp5/Adra2c/Adra2a/Adam9/Acvr1b/Ace/Chrnb2/Acvr1/Acvr2a/Adra2b/Adra2b/Adra2c/Adra2a/Adam17/Adam3/Adam3/Chrnb2/Adam9/Adam3/Acvr1b/Abca1/Acvr1/Pzp/A2m/Acox1/Acvr2a/Abl1/Adra2a/Acvr1/Adh7/Adh7/Adh5/Adam9/Adh7/Pzp/Acvr2a/Adcyap1r1/Adh7/Abca1/Abl1/Ace/Cebpb/Chrnb2/Acvr1/Acvr1b/Adcyap1r1/Adh7/Adh5/Adh5/Adra2a/Adra2b/Acvr1/Abl1/Acvr1/Adamts1/Adh7/Acvr1b/Acvr1b/Acox1/Adh7/Adh7/Adam17/Adamts1/Pzp/Pzp/Acvr1b/Adamts1/Adcyap1r1/Adamts1/Adra2c/Acox1/Adra2a/Chrnb2/Adcyap1r1/Adam9"
"GO:0065007"	"biological regulation"	354	"354/137"	"Asic2/Acp5/Cd40/Cd40lg/Adamts1/Adra2c/Acan/Adamts1/Add2/Abl1/Acvrl1/Parp2/Adra2b/Avil/Parp1/Gpr182/Adora3/Aebp2/Acta2/Chrng/Adrb1/Acvr1/Acvr1/Acvr1/Abca2/Parp1/Adra2a/Chrna4/Adora3/Acvrl1/Adra1a/Adra1d/Adcyap1r1/Adh1/Adm/Atf7ip/Acta2/Chrne/Chrng/Adipoq/Adam22/Adam4/Adam7/Adipoq/Plin2/Angpt1/Ang/Adcy8/Adh7/Abca2/Adora2b/Parp1/Adk/Adra2a/Acvr1/Adora1/Chrna1/Adam8/Adipoq/Abca4/Adam11/Asic1/Adora2a/Acox1/Abi1/Acta2/Acp5/Chrna1/Gpr182/Adra2c/Adra2a/Avil/Adora2b/Aebp1/Add2/Angpt2/Acan/Adora2a/Adam9/Acvr1b/Ace/Macf1/Chrnb2/Acvr1/Acvr2a/Parp1/Adra2b/Adra2b/Abcg1/Adh1/Adam5/Adra1b/Chrna4/Adra2c/Asic1/Abcg1/Adh1/Adra1d/Chrnb1/Parp2/Adora2b/Abca4/Adra2a/Plin2/Parp2/Aatk/Adam17/Acvrl1/Adam3/Apoc4/Adam3/Ldlrap1/Chrnb2/Adam9/Adora1/Adam3/Adam22/Acvr1b/Parp1/Abca1/Actb/Acvr1/Plin2/Aco1/Adcyap1/Mzb1/Adora1/Adam19/Asic1/Actg1/Pzp/A2m/Acox1/Adam2/Adra1d/Aspa/Adam10/Aspa/Ager/Acvr2a/Chrna6/Cfd/Aspa/Asic1/Asic2/Acvr2b/Abca4/Adora2b/Abl1/Parp1/Adk/Aebp2/Add1/Adra2a/Acvr1/Adh7/Aanat/Adh7/Adh5/Acadvl/Adam8/Acadm/Adora2b/Adam9/Abca2/Adh7/Adipoq/Taf10/Sap30/Adam22/Adcy6/Adh1/Acan/Acadl/Chrne/Parp1/Adk/Adipoq/Adora3/Macf1/Pzp/Actc1/Actb/Adam10/Adrb2/Adam10/Gpr182/Actg1/Abi1/Napsa/Adora3/Acvr2a/Adrb2/Adcyap1r1/Asic2/Acadm/Adam11/Adh1/Adh7/Adcy6/Actg1/Adra1d/Aanat/Aanat/Aanat/Abca1/Abi1/Abl1/Asic2/Asic1/Ace/Macf1/Macf1/Acan/Adam2/Cebpb/Cenpj/Chrnb1/Chrnb2/Chrnd/Acvr1/Acvr1b/Adam15/Adam5/Adam8/Adcy7/Adcy8/Adcy9/Adcy9/Adcyap1r1/Adh1/Adh7/Adh5/Adh5/Adk/Adk/Gpr182/Gpr182/Gpr182/Cfd/Parp1/Parp1/Adora3/Parp2/Adra1d/Adra1d/Adra2a/Adra2b/Adrb2/Angpt1/Aco1/Adam2/Adcy9/Acvr1/Aatk/Abl1/Asic2/Macf1/Adora3/Adora2a/Acvrl1/Adora1/Abca4/Chrna6/Chrna7/Chrna7/Itga7/Adora2b/Actg1/Acvr1/Adam19/Adnp/Adam4/Adamts1/Adora3/Adh7/Adh4/Abl2/Adcy9/Chrna4/Adora1/Angpt2/Adra1d/Abl2/Adipoq/Abcb7/Adh1/Adnp/Adora1/Abl2/Abca4/Plin2/Adh1/Parp2/Adh1/Adora1/Acvr1b/Acvr1b/Chrne/Asic1/Acta2/Abcb7/Acadl/Adh1/Adrb3/Acox1/Paox/Acan/Actb/Acadl/Gpr182/Actn2/Chrnd/Adam15/Adh1/Adh7/Angpt1/Adam7/Parp1/Adh7/Aco1/Adam17/Parp2/Adamts1/Acta2/Adra1a/Asic2/Chrna1/Pzp/Pzp/Chrnd/Adam7/Acvr1b/Adipoq/Aatk/Abcg1/Adamts1/Adcyap1r1/Adam10/Macf1/Adamts1/Adra2c/Abcb7/Acadl/Chrna1/Acox1/Adra2a/Chrnb2/Abca2/Adrb1/Adcyap1r1/Adam9/Adam8/Chrna4"
"GO:0071840"	"cellular component organization or biogenesis"	166	"166/137"	"Asic2/Acan/Add2/Abl1/Acvrl1/Avil/Parp1/Aebp2/Adrb1/Parp1/Chrna4/Acvrl1/Adm/Atf7ip/Adipoq/Adipoq/Angpt1/Acads/Parp1/Adora1/Chrna1/Adam8/Adipoq/Abca4/Adora2a/Acox1/Acta1/Abi1/Chrna1/Adsl/Avil/Add2/Acan/Adora2a/Adam9/Acads/Acvr1b/Acta1/Macf1/Chrnb2/Parp1/Acp2/Abcg1/Chrna4/Abcg1/Chrnb1/Abca4/Aatk/Adam17/Acvrl1/Ldlrap1/Chrnb2/Adam9/Adora1/Acvr1b/Parp1/Abca1/Actb/Acads/Adcyap1/Mzb1/Adora1/Acads/Actg1/Acox1/Adam10/Ager/Chrna6/Asic2/Abca4/Abl1/Parp1/Aebp2/Acta1/Add1/Adam8/Acadm/Adam9/Adipoq/Taf10/Adcy6/Acan/Acadl/Parp1/Adipoq/Macf1/Actc1/Actb/Adam10/Adam10/Actg1/Abi1/Asic2/Acadm/Adcy6/Actg1/Abca1/Abi1/Abl1/Asic2/Macf1/Macf1/Acan/Acp2/Cenpj/Chrnb1/Chrnb2/Acvr1b/Adam15/Adam8/Parp1/Parp1/Angpt1/Acads/Aatk/Abl1/Asic2/Macf1/Adora2a/Acvrl1/Adora1/Abca4/Chrna6/Itga7/Actg1/Adnp/Adsl/Abl2/Chrna4/Adora1/Abl2/Adipoq/Adnp/Adora1/Abl2/Abca4/Adora1/Acvr1b/Acvr1b/Acadl/Acox1/Acan/Actb/Acadl/Actn2/Acta1/Adam15/Angpt1/Parp1/Adam17/Asic2/Chrna1/Acvr1b/Adipoq/Aatk/Abcg1/Adam10/Macf1/Acadl/Chrna1/Acox1/Chrnb2/Adrb1/Adam9/Adam8/Chrna4"
